OD;DESTINO;E190-E2;E195-E2;A220-100;A220-300;A319Neo;B737-M7;ATR-72
SBGOSBAR;SBAR;0.05535914117965068;0.048870267156808776;0.05465224215611515;0.04959739383684462;0.05201858610239762;0.04987740237357262;0.06889258757158646
SBGOSBBE;SBBE;0.05190242850660633;0.045790401015864186;0.05131895704122276;0.04655081011132348;0.04877046299242235;0.04671961555994887;0.06539474549288364
SBGOSBBR;SBBR;0.13786123736683525;0.12277177298651329;0.13315526590429766;0.12163539183237868;0.1295422308463465;0.12585142428948312;0.14401429338631747
SBGOSBCF;SBCF;0.07757384866717283;0.06870308406672149;0.07596615857308778;0.06910749994855202;0.07289278410393786;0.07023249703307373;0.09048737484818524
SBGOSBCG;SBCG;0.07442201135191247;0.06588544778829324;0.07295217074931408;0.06634583112116298;0.06993113915658292;0.06733873921361207;0.08750441474199433
SBGOSBCT;SBCT;0.06498660560646441;0.0574575600306336;0.06391055677276562;0.05806633846552817;0.061065097239714;0.0586867787180705;0.07842379742854443
SBGOSBCY;SBCY;0.07320386862623399;0.06479677332776233;0.07178649153498062;0.06527796156049175;0.06878650322274354;0.06622080912508264;0.08634508656567343
SBGOSBEG;SBEG;0.049311697336366235;0.043483391329409614;0.04881725698355214;0.0442652387550707;0.04633606517526767;0.044354896043413326;0.06274387794030684
SBGOSBFI;SBFI;0.06134967566768748;0.0542120309925584;0.06041723096792569;0.054869716672777985;0.05764763177444052;0.05535652389452376;0.0748573882486307
SBGOSBFL;SBFL;0.059367252028640675;0.052443723150488064;0.058511008914638195;0.05312596836568103;0.055784834184706755;0.053542448814358705;0.0728964030437337
SBGOSBFZ;SBFZ;0.050119016267984845;0.04420217557814699;0.04959716273499336;0.044977675720106934;0.04709466779195594;0.04509159819765538;0.0635727399336302
SBGOSBGL;SBGL;0.066730025869365;0.0590139801790702;0.06558345966183018;0.059597614746059915;0.062703313713558;0.06028415011393007;0.08011974599947914
SBGOSBGR;SBGR;0.07067227063246682;0.06253480117786306;0.06936242797212813;0.06305770766403487;0.06640767028911701;0.06389833870734152;0.08392377545082051
SBGOSBIL;SBIL;0.061969993212681304;0.0547654632936433;0.06101339873293734;0.0554151549101636;0.058230517291402814;0.05592433829557383;0.07546848583615091
SBGOSBIZ;SBIZ;0.05897900768805054;0.05209747768680437;0.058137510934537145;0.05278435351778073;0.05542001780155122;0.05318727556205705;0.07251089699759916
SBGOSBJP;SBJP;0.04977972286999257;0.04390007717867621;0.049269427306844644;0.044678282187459555;0.0467758484883804;0.04478196208059183;0.06322470700452498
SBGOSBJV;SBJV;0.06296875315857363;0.055656644188316555;0.06197297558828873;0.05629316112082888;0.05916900873353746;0.05683873557130385;0.07644994331636398
SBGOSBKP;SBKP;0.07328278976916566;0.06486730123523178;0.07186202767769578;0.06534715577612242;0.06886066200088586;0.066293229621204;0.0864203087451774
SBGOSBLO;SBLO;0.07211204602240216;0.06382114085464756;0.07074129685827388;0.06432057555584016;0.06776056483360453;0.06521903453695613;0.08530283124288558
SBGOSBMA;SBMA;0.058916115681302075;0.05204139116511436;0.05807700216321965;0.05272901151294217;0.055360920908093636;0.05312974392721;0.07244840282048536
SBGOSBMG;SBMG;0.07046471185656879;0.06234938238619618;0.06916359426692985;0.06287561655024902;0.06621263630149928;0.06370797824537533;0.08372452771754339
SBGOSBMO;SBMO;0.052437986311508276;0.046267447370334086;0.05183573181111596;0.04702304300569798;0.04927370345449339;0.0472086668134216;0.06593953289343926
SBGOSBNF;SBNF;0.06124418402399126;0.05411791922650899;0.06031583191035316;0.054776949872088566;0.05754850584810277;0.055259969168510864;0.07475334689813057
SBGOSBPA;SBPA;0.05465800209474933;0.04824541237950112;0.053976552288680334;0.048979707698108166;0.051359756086604244;0.04923666031248065;0.06818657709049351
SBGOSBPJ;SBPJ;0.07459453784027537;0.06603965147156722;0.07311722962801549;0.06649705047445299;0.07009325482164944;0.06749709389624141;0.08766831577599092
SBGOSBPS;SBPS;0.06262059966429422;0.05534597571407192;0.06163852249833234;0.05598712739152182;0.05884186398141328;0.05651996583862867;0.0761081626784489
SBGOSBPV;SBPV;0.05043676592578148;0.04448510975928008;0.04990404005748241;0.045258028136079986;0.04739324337641926;0.04538160104447244;0.06389826452187768
SBGOSBRB;SBRB;0.04698692011630976;0.04141419803435147;0.04656969026772869;0.04221258059517115;0.04415157276058308;0.042234448141888786;0.06034231623207648
SBGOSBRF;SBRF;0.05044498288172923;0.0444924266197636;0.04991197524034609;0.04526527761119555;0.04740096449386002;0.04538910082168302;0.06390667730803212
SBGOSBRJ;SBRJ;0.06630688803203899;0.058636192073620086;0.06517753415977205;0.05922602783111855;0.062305709423551126;0.059896403360773516;0.0797089192374004
SBGOSBRP;SBRP;0.0847392232199748;0.07511270844148393;0.08280740642169888;0.07537897642381171;0.07962577607578351;0.07681735043259108;0.09718430716670122
SBGOSBSG;SBSG;0.04916222951959145;0.043350327239368026;0.048672831022284646;0.04413331609119515;0.04619561674469674;0.044218521239950646;0.06259013706541837
SBGOSBSL;SBSL;0.05246164232930677;0.04628851997174006;0.05185855523898924;0.04704390003831135;0.04929593198933821;0.04723027026232842;0.06596357190211964
SBGOSBSP;SBSP;0.07019187190327693;0.06210565383479491;0.06890220221135115;0.06263624062111096;0.06595626042029785;0.0634577580791453;0.08346244139272667
SBGOSBSV;SBSV;0.059100521676373474;0.052205844384933135;0.05825441587937037;0.052891277301267005;0.055534199230842365;0.053298435246224074;0.07263160614148413
SBGOSBTE;SBTE;0.05520885053974939;0.04873632179378219;0.05450742397858938;0.04946500262644207;0.051877364500589905;0.04974004808011456;0.06874139789544882
SBGOSBUL;SBUL;0.1113469125271028;0.09895658794742616;0.10809831128938095;0.09859460579035989;0.104627868733201;0.10133498517323274;0.12118198285709764
SBGOSBVT;SBVT;0.06403665010855668;0.0566096651160467;0.06299857353062129;0.057231686930009906;0.06017246522251928;0.057816660831453946;0.07749604262239816
SBGOSWGN;SWGN;0.06338634934998802;0.056029300324222195;0.06237408022348785;0.05666019888732311;0.059561405779015975;0.057221120556397324;0.07685941777071097
SBGOSWSI;SWSI;0.06875510605635525;0.06082233838936357;0.06752531629424298;0.06137543601520302;0.06460619381296846;0.062140339405272686;0.0820790566332708
SBARSBGO;SBAR;0.05535914117965068;0.048870267156808776;0.05465224215611515;0.04959739383684462;0.05201858610239762;0.04987740237357262;0.06889258757158646
SBBESBGO;SBBE;0.05190242850660633;0.045790401015864186;0.05131895704122276;0.04655081011132348;0.04877046299242235;0.04671961555994887;0.06539474549288364
SBBRSBGO;SBBR;0.13786123736683525;0.12277177298651329;0.13315526590429766;0.12163539183237868;0.1295422308463465;0.12585142428948312;0.14401429338631747
SBCFSBGO;SBCF;0.07757384866717283;0.06870308406672149;0.07596615857308778;0.06910749994855202;0.07289278410393786;0.07023249703307373;0.09048737484818524
SBCGSBGO;SBCG;0.07442201135191247;0.06588544778829324;0.07295217074931408;0.06634583112116298;0.06993113915658292;0.06733873921361207;0.08750441474199433
SBCTSBGO;SBCT;0.06498660560646441;0.0574575600306336;0.06391055677276562;0.05806633846552817;0.061065097239714;0.0586867787180705;0.07842379742854443
SBCYSBGO;SBCY;0.07320386862623399;0.06479677332776233;0.07178649153498062;0.06527796156049175;0.06878650322274354;0.06622080912508264;0.08634508656567343
SBEGSBGO;SBEG;0.049311697336366235;0.043483391329409614;0.04881725698355214;0.0442652387550707;0.04633606517526767;0.044354896043413326;0.06274387794030684
SBFISBGO;SBFI;0.06134967566768748;0.0542120309925584;0.06041723096792569;0.054869716672777985;0.05764763177444052;0.05535652389452376;0.0748573882486307
SBFLSBGO;SBFL;0.059367252028640675;0.052443723150488064;0.058511008914638195;0.05312596836568103;0.055784834184706755;0.053542448814358705;0.0728964030437337
SBFZSBGO;SBFZ;0.050119016267984845;0.04420217557814699;0.04959716273499336;0.044977675720106934;0.04709466779195594;0.04509159819765538;0.0635727399336302
SBGLSBGO;SBGL;0.066730025869365;0.0590139801790702;0.06558345966183018;0.059597614746059915;0.062703313713558;0.06028415011393007;0.08011974599947914
SBGRSBGO;SBGR;0.07067227063246682;0.06253480117786306;0.06936242797212813;0.06305770766403487;0.06640767028911701;0.06389833870734152;0.08392377545082051
SBILSBGO;SBIL;0.061969993212681304;0.0547654632936433;0.06101339873293734;0.0554151549101636;0.058230517291402814;0.05592433829557383;0.07546848583615091
SBIZSBGO;SBIZ;0.05897900768805054;0.05209747768680437;0.058137510934537145;0.05278435351778073;0.05542001780155122;0.05318727556205705;0.07251089699759916
SBJPSBGO;SBJP;0.04977972286999257;0.04390007717867621;0.049269427306844644;0.044678282187459555;0.0467758484883804;0.04478196208059183;0.06322470700452498
SBJVSBGO;SBJV;0.06296875315857363;0.055656644188316555;0.06197297558828873;0.05629316112082888;0.05916900873353746;0.05683873557130385;0.07644994331636398
SBKPSBGO;SBKP;0.07328278976916566;0.06486730123523178;0.07186202767769578;0.06534715577612242;0.06886066200088586;0.066293229621204;0.0864203087451774
SBLOSBGO;SBLO;0.07211204602240216;0.06382114085464756;0.07074129685827388;0.06432057555584016;0.06776056483360453;0.06521903453695613;0.08530283124288558
SBMASBGO;SBMA;0.058916115681302075;0.05204139116511436;0.05807700216321965;0.05272901151294217;0.055360920908093636;0.05312974392721;0.07244840282048536
SBMGSBGO;SBMG;0.07046471185656879;0.06234938238619618;0.06916359426692985;0.06287561655024902;0.06621263630149928;0.06370797824537533;0.08372452771754339
SBMOSBGO;SBMO;0.052437986311508276;0.046267447370334086;0.05183573181111596;0.04702304300569798;0.04927370345449339;0.0472086668134216;0.06593953289343926
SBNFSBGO;SBNF;0.06124418402399126;0.05411791922650899;0.06031583191035316;0.054776949872088566;0.05754850584810277;0.055259969168510864;0.07475334689813057
SBPASBGO;SBPA;0.05465800209474933;0.04824541237950112;0.053976552288680334;0.048979707698108166;0.051359756086604244;0.04923666031248065;0.06818657709049351
SBPJSBGO;SBPJ;0.07459453784027537;0.06603965147156722;0.07311722962801549;0.06649705047445299;0.07009325482164944;0.06749709389624141;0.08766831577599092
SBPSSBGO;SBPS;0.06262059966429422;0.05534597571407192;0.06163852249833234;0.05598712739152182;0.05884186398141328;0.05651996583862867;0.0761081626784489
SBPVSBGO;SBPV;0.05043676592578148;0.04448510975928008;0.04990404005748241;0.045258028136079986;0.04739324337641926;0.04538160104447244;0.06389826452187768
SBRBSBGO;SBRB;0.04698692011630976;0.04141419803435147;0.04656969026772869;0.04221258059517115;0.04415157276058308;0.042234448141888786;0.06034231623207648
SBRFSBGO;SBRF;0.05044498288172923;0.0444924266197636;0.04991197524034609;0.04526527761119555;0.04740096449386002;0.04538910082168302;0.06390667730803212
SBRJSBGO;SBRJ;0.06630688803203899;0.058636192073620086;0.06517753415977205;0.05922602783111855;0.062305709423551126;0.059896403360773516;0.0797089192374004
SBRPSBGO;SBRP;0.0847392232199748;0.07511270844148393;0.08280740642169888;0.07537897642381171;0.07962577607578351;0.07681735043259108;0.09718430716670122
SBSGSBGO;SBSG;0.04916222951959145;0.043350327239368026;0.048672831022284646;0.04413331609119515;0.04619561674469674;0.044218521239950646;0.06259013706541837
SBSLSBGO;SBSL;0.05246164232930677;0.04628851997174006;0.05185855523898924;0.04704390003831135;0.04929593198933821;0.04723027026232842;0.06596357190211964
SBSPSBGO;SBSP;0.07019187190327693;0.06210565383479491;0.06890220221135115;0.06263624062111096;0.06595626042029785;0.0634577580791453;0.08346244139272667
SBSVSBGO;SBSV;0.059100521676373474;0.052205844384933135;0.05825441587937037;0.052891277301267005;0.055534199230842365;0.053298435246224074;0.07263160614148413
SBTESBGO;SBTE;0.05520885053974939;0.04873632179378219;0.05450742397858938;0.04946500262644207;0.051877364500589905;0.04974004808011456;0.06874139789544882
SBULSBGO;SBUL;0.1113469125271028;0.09895658794742616;0.10809831128938095;0.09859460579035989;0.104627868733201;0.10133498517323274;0.12118198285709764
SBVTSBGO;SBVT;0.06403665010855668;0.0566096651160467;0.06299857353062129;0.057231686930009906;0.06017246522251928;0.057816660831453946;0.07749604262239816
SWGNSBGO;SWGN;0.06338634934998802;0.056029300324222195;0.06237408022348785;0.05666019888732311;0.059561405779015975;0.057221120556397324;0.07685941777071097
SWSISBGO;SWSI;0.06875510605635525;0.06082233838936357;0.06752531629424298;0.06137543601520302;0.06460619381296846;0.062140339405272686;0.0820790566332708
SBARSBAR;SBAR;0;0;0;0;0;0;0
SBBESBBE;SBBE;0;0;0;0;0;0;0
SBBRSBBR;SBBR;0;0;0;0;0;0;0
SBCFSBCF;SBCF;0;0;0;0;0;0;0
SBCGSBCG;SBCG;0;0;0;0;0;0;0
SBCTSBCT;SBCT;0;0;0;0;0;0;0
SBCYSBCY;SBCY;0;0;0;0;0;0;0
SBEGSBEG;SBEG;0;0;0;0;0;0;0
SBFISBFI;SBFI;0;0;0;0;0;0;0
SBFLSBFL;SBFL;0;0;0;0;0;0;0
SBFZSBFZ;SBFZ;0;0;0;0;0;0;0
SBGLSBGL;SBGL;0;0;0;0;0;0;0
SBGRSBGR;SBGR;0;0;0;0;0;0;0
SBILSBIL;SBIL;0;0;0;0;0;0;0
SBIZSBIZ;SBIZ;0;0;0;0;0;0;0
SBJPSBJP;SBJP;0;0;0;0;0;0;0
SBJVSBJV;SBJV;0;0;0;0;0;0;0
SBKPSBKP;SBKP;0;0;0;0;0;0;0
SBLOSBLO;SBLO;0;0;0;0;0;0;0
SBMASBMA;SBMA;0;0;0;0;0;0;0
SBMGSBMG;SBMG;0;0;0;0;0;0;0
SBMOSBMO;SBMO;0;0;0;0;0;0;0
SBNFSBNF;SBNF;0;0;0;0;0;0;0
SBPASBPA;SBPA;0;0;0;0;0;0;0
SBPJSBPJ;SBPJ;0;0;0;0;0;0;0
SBPSSBPS;SBPS;0;0;0;0;0;0;0
SBPVSBPV;SBPV;0;0;0;0;0;0;0
SBRBSBRB;SBRB;0;0;0;0;0;0;0
SBRFSBRF;SBRF;0;0;0;0;0;0;0
SBRJSBRJ;SBRJ;0;0;0;0;0;0;0
SBRPSBRP;SBRP;0;0;0;0;0;0;0
SBSGSBSG;SBSG;0;0;0;0;0;0;0
SBSLSBSL;SBSL;0;0;0;0;0;0;0
SBSPSBSP;SBSP;0;0;0;0;0;0;0
SBSVSBSV;SBSV;0;0;0;0;0;0;0
SBTESBTE;SBTE;0;0;0;0;0;0;0
SBULSBUL;SBUL;0;0;0;0;0;0;0
SBVTSBVT;SBVT;0;0;0;0;0;0;0
SWGNSWGN;SWGN;0;0;0;0;0;0;0
SWSISWSI;SWSI;0;0;0;0;0;0;0
SBGOSBGO;SBGO;0;0;0;0;0;0;0
