OD;ORIGEM;DESTINO;PISTA;DEMANDA;DISTANCIA
SBGOSBAR;SBGO;SBAR;2200;79;1454.01
SBGOSBBE;SBGO;SBBE;2800;225;1697.14
SBGOSBBR;SBGO;SBBR;3200;283;163.05
SBGOSBCF;SBGO;SBCF;3000;932;647.42
SBGOSBCG;SBGO;SBCG;2600;175;715.13
SBGOSBCT;SBGO;SBCT;2218;570;989.87
SBGOSBCY;SBGO;SBCY;2300;606;744
SBGOSBEG;SBGO;SBEG;2700;165;1918.87
SBGOSBFI;SBGO;SBFI;2195;79;1136.47
SBGOSBFL;SBGO;SBFL;2300;286;1229.61
SBGOSBFZ;SBGO;SBFZ;2545;364;1845.58
SBGOSBGL;SBGO;SBGL;4000;724;928.98
SBGOSBGR;SBGO;SBGR;3700;2813;809.52
SBGOSBIL;SBGO;SBIL;1577;61;1109.38
SBGOSBIZ;SBGO;SBIZ;1798;53;1249.11
SBGOSBJP;SBGO;SBJP;2515;110;1875.89
SBGOSBJV;SBGO;SBJV;1640;59;1067.65
SBGOSBKP;SBGO;SBKP;3240;737;742.08
SBGOSBLO;SBGO;SBLO;2102;76;771.3
SBGOSBMA;SBGO;SBMA;2000;94;1252.31
SBGOSBMG;SBGO;SBMG;2100;52;815.25
SBGOSBMO;SBGO;SBMO;2602;190;1655.87
SBGOSBNF;SBGO;SBNF;1701;179;1141.17
SBGOSBPA;SBGO;SBPA;2280;691;1499.14
SBGOSBPJ;SBGO;SBPJ;2500;589;711.17
SBGOSBPS;SBGO;SBPS;2000;164;1081.94
SBGOSBPV;SBGO;SBPV;2400;98;1817.82
SBGOSBRB;SBGO;SBRB;2158;68;2154.47
SBGOSBRF;SBGO;SBRF;3007;405;1817.11
SBGOSBRJ;SBGO;SBRJ;1333;1219;943.26
SBGOSBRP;SBGO;SBRP;2100;338;523.81
SBGOSBSG;SBGO;SBSG;3000;205;1932.89
SBGOSBSL;SBGO;SBSL;2385;136;1654.08
SBGOSBSP;SBGO;SBSP;1940;2597;822.87
SBGOSBSV;SBGO;SBSV;3003;482;1242.96
SBGOSBTE;SBGO;SBTE;2200;106;1463.52
SBGOSBUL;SBGO;SBUL;2100;82;272.13
SBGOSBVT;SBGO;SBVT;1750;322;1025.45
SBGOSWGN;SBGO;SWGN;1804;136;1050.86
SBGOSWSI;SBGO;SWSI;1630;51;864.71
SBARSBGO;SBAR;SBGO;2200;79;1454.01
SBBESBGO;SBBE;SBGO;2800;225;1697.14
SBBRSBGO;SBBR;SBGO;3200;283;163.05
SBCFSBGO;SBCF;SBGO;3000;932;647.42
SBCGSBGO;SBCG;SBGO;2600;175;715.13
SBCTSBGO;SBCT;SBGO;2218;570;989.87
SBCYSBGO;SBCY;SBGO;2300;606;744
SBEGSBGO;SBEG;SBGO;2700;165;1918.87
SBFISBGO;SBFI;SBGO;2195;79;1136.47
SBFLSBGO;SBFL;SBGO;2300;286;1229.61
SBFZSBGO;SBFZ;SBGO;2545;364;1845.58
SBGLSBGO;SBGL;SBGO;4000;724;928.98
SBGRSBGO;SBGR;SBGO;3700;2813;809.52
SBILSBGO;SBIL;SBGO;1577;61;1109.38
SBIZSBGO;SBIZ;SBGO;1798;53;1249.11
SBJPSBGO;SBJP;SBGO;2515;110;1875.89
SBJVSBGO;SBJV;SBGO;1640;59;1067.65
SBKPSBGO;SBKP;SBGO;3240;737;742.08
SBLOSBGO;SBLO;SBGO;2102;76;771.3
SBMASBGO;SBMA;SBGO;2000;94;1252.31
SBMGSBGO;SBMG;SBGO;2100;52;815.25
SBMOSBGO;SBMO;SBGO;2602;190;1655.87
SBNFSBGO;SBNF;SBGO;1701;179;1141.17
SBPASBGO;SBPA;SBGO;2280;691;1499.14
SBPJSBGO;SBPJ;SBGO;2500;589;711.17
SBPSSBGO;SBPS;SBGO;2000;164;1081.94
SBPVSBGO;SBPV;SBGO;2400;98;1817.82
SBRBSBGO;SBRB;SBGO;2158;68;2154.47
SBRFSBGO;SBRF;SBGO;3007;405;1817.11
SBRJSBGO;SBRJ;SBGO;1333;1219;943.26
SBRPSBGO;SBRP;SBGO;2100;338;523.81
SBSGSBGO;SBSG;SBGO;3000;205;1932.89
SBSLSBGO;SBSL;SBGO;2385;136;1654.08
SBSPSBGO;SBSP;SBGO;1940;2597;822.87
SBSVSBGO;SBSV;SBGO;3003;482;1242.96
SBTESBGO;SBTE;SBGO;2200;106;1463.52
SBULSBGO;SBUL;SBGO;2100;82;272.13
SBVTSBGO;SBVT;SBGO;1750;322;1025.45
SWGNSBGO;SWGN;SBGO;1804;136;1050.86
SWSISBGO;SWSI;SBGO;1630;51;864.71
SBARSBAR;SBAR;SBAR;0;0;0
SBBESBBE;SBBE;SBBE;0;0;0
SBBRSBBR;SBBR;SBBR;0;0;0
SBCFSBCF;SBCF;SBCF;0;0;0
SBCGSBCG;SBCG;SBCG;0;0;0
SBCTSBCT;SBCT;SBCT;0;0;0
SBCYSBCY;SBCY;SBCY;0;0;0
SBEGSBEG;SBEG;SBEG;0;0;0
SBFISBFI;SBFI;SBFI;0;0;0
SBFLSBFL;SBFL;SBFL;0;0;0
SBFZSBFZ;SBFZ;SBFZ;0;0;0
SBGLSBGL;SBGL;SBGL;0;0;0
SBGRSBGR;SBGR;SBGR;0;0;0
SBILSBIL;SBIL;SBIL;0;0;0
SBIZSBIZ;SBIZ;SBIZ;0;0;0
SBJPSBJP;SBJP;SBJP;0;0;0
SBJVSBJV;SBJV;SBJV;0;0;0
SBKPSBKP;SBKP;SBKP;0;0;0
SBLOSBLO;SBLO;SBLO;0;0;0
SBMASBMA;SBMA;SBMA;0;0;0
SBMGSBMG;SBMG;SBMG;0;0;0
SBMOSBMO;SBMO;SBMO;0;0;0
SBNFSBNF;SBNF;SBNF;0;0;0
SBPASBPA;SBPA;SBPA;0;0;0
SBPJSBPJ;SBPJ;SBPJ;0;0;0
SBPSSBPS;SBPS;SBPS;0;0;0
SBPVSBPV;SBPV;SBPV;0;0;0
SBRBSBRB;SBRB;SBRB;0;0;0
SBRFSBRF;SBRF;SBRF;0;0;0
SBRJSBRJ;SBRJ;SBRJ;0;0;0
SBRPSBRP;SBRP;SBRP;0;0;0
SBSGSBSG;SBSG;SBSG;0;0;0
SBSLSBSL;SBSL;SBSL;0;0;0
SBSPSBSP;SBSP;SBSP;0;0;0
SBSVSBSV;SBSV;SBSV;0;0;0
SBTESBTE;SBTE;SBTE;0;0;0
SBULSBUL;SBUL;SBUL;0;0;0
SBVTSBVT;SBVT;SBVT;0;0;0
SWGNSWGN;SWGN;SWGN;0;0;0
SWSISWSI;SWSI;SWSI;0;0;0
